indicator_id,indicator_label,indicator_group,unit,analysis_level,estimator_type,universe,weight,required_vars,derived_vars,scale_adjustment_required,representativity_required,implementation_status,method_note
ingreso_laboral,Ingreso laboral,income,usd,person,mean,personas_5_mas,fexp,p63|p64b|p65|p66|p67|p68b|p69|p70b,ingr|ingrls|ingrl,FALSE,TRUE,contract,Construcción basada en sintaxis oficial de pobreza extrema por ingresos.
ingreso_total_hogar,Ingreso total del hogar,income,usd,household_repeated_person,total,hogares,fexp,idhogar|ingrltot,ingtot|hsize,TRUE,TRUE,contract,Ingreso total del hogar como suma de ingresos individuales por hogar.
ingreso_percapita_familiar,Ingreso per cápita familiar,income,usd,household_repeated_person,mean,personas_en_hogares_con_ingreso_valido,fexp,idhogar|ingtot|hsize,ingtot_pc,TRUE,TRUE,contract,Ingreso del hogar dividido para número de miembros del hogar.
pobreza_extrema_ingresos,Incidencia de pobreza extrema por ingresos,poverty,percentage,household_repeated_person,proportion_0_1,personas_en_hogares_con_ingreso_valido,fexp,ingtot_pc|linea_pobreza_extrema,expobre,TRUE,TRUE,contract,Personas cuyo ingreso per cápita familiar está por debajo de la línea de pobreza extrema.
pobreza_ingresos,Incidencia de pobreza por ingresos,poverty,percentage,household_repeated_person,proportion_0_1,personas_en_hogares_con_ingreso_valido,fexp,ingtot_pc|linea_pobreza,pobre,TRUE,TRUE,contract,Personas cuyo ingreso per cápita familiar está por debajo de la línea de pobreza.
quintil_ingreso_pc,Quintil de ingreso per cápita,income_distribution,category,household_repeated_person,other,personas_en_hogares_con_ingreso_valido,fexp,ingtot_pc,quintil_ingreso_pc,TRUE,TRUE,contract,Quintiles construidos sobre ingreso per cápita familiar.
conteo_personas,Conteo de personas,population,count,person,total,personas,fexp,fexp,,FALSE,TRUE,contract,Total poblacional estimado de personas.
conteo_hogares,Conteo de hogares,population,count,household,total,hogares,fexp,idhogar|fexp,,FALSE,TRUE,contract,Total poblacional estimado de hogares; requiere contrato específico de base de hogares o deduplicación.
transferencias_bonos_total_enemdu,Monto total de bonos sociales captados por ENEMDU,social_bonus,usd,person,total,personas_en_base_enemdu,fexp,bonos_sociales_total,bonos_sociales_total,FALSE,TRUE,contract,Estimación expandida del total de bonos sociales captados por ENEMDU; no equivale automáticamente a ejecución administrativa.
bono_desarrollo_humano_monto_total,Monto total captado por Bono de Desarrollo Humano,social_bonus,usd,person,total,personas_en_base_enemdu,fexp,bono_desarrollo_humano,bono_desarrollo_humano,FALSE,TRUE,contract,Estimación expandida del monto BDH captado en ENEMDU validado por p75; no debe duplicarse en escenarios de ingreso.
bono_desarrollo_humano_receptores,Personas receptoras de Bono de Desarrollo Humano,social_bonus,count,person,total,personas_en_base_enemdu,fexp,bono_desarrollo_humano_recibe,bono_desarrollo_humano_recibe,FALSE,TRUE,contract,Estimación expandida de personas que declaran recibir BDH según p75.
bono_desarrollo_humano_monto_promedio_receptor,Monto promedio de Bono de Desarrollo Humano entre receptores,social_bonus,usd,person,mean,personas_receptoras_bdh,fexp,bono_desarrollo_humano_monto_receptor,bono_desarrollo_humano_monto_receptor,FALSE,TRUE,contract,Promedio del monto BDH entre receptores validados por p75.
