indicator_order,indicator_id,indicator_label_es,dimension_id,dimension_label_es,dimension_weight,indicator_weight,applicable_population,identification_level,analysis_level,expected_component_name,derivation_status,official_method_note,implementation_note
1,ipm_i01_inasistencia_basica_bach,Inasistencia a educacion basica y bachillerato,education,Educacion,0.25,0.0833333333333333,school_age_basic_and_bachillerato_population,household_from_person_conditions,person,ipm_i01_inasistencia_basica_bach_flag,pending_implementation,Official IPM indicator in education dimension. Exact ENEMDU coding remains pending methodological review,No calculation is implemented. Non-applicable population handling must be explicit before scoring.
2,ipm_i02_no_acceso_superior_economico,No acceso a educacion superior por razones economicas,education,Educacion,0.25,0.0833333333333333,higher_education_age_population,household_from_person_conditions,person,ipm_i02_no_acceso_superior_economico_flag,pending_implementation,Official IPM indicator in education dimension. Economic reason coding remains pending methodological review,No calculation is implemented. Reason-for-nonattendance source variables must be confirmed.
3,ipm_i03_logro_educativo_incompleto,Logro educativo incompleto,education,Educacion,0.25,0.0833333333333333,adult_or_reference_education_population,household_from_person_conditions,person,ipm_i03_logro_educativo_incompleto_flag,pending_implementation,Official IPM indicator in education dimension. Schooling threshold remains pending methodological review,No calculation is implemented. Years-of-schooling construction must be audited before use.
4,ipm_i04_empleo_infantil_adolescente,Empleo infantil y adolescente,work_social_security,Trabajo y seguridad social,0.25,0.0833333333333333,children_and_adolescents,household_from_person_conditions,person,ipm_i04_empleo_infantil_adolescente_flag,pending_implementation,Official IPM indicator in work and social security dimension. Child labor definition remains pending methodological review,No calculation is implemented. Do not reconstruct condact from raw questionnaire variables in this task.
5,ipm_i05_desempleo_empleo_inadecuado,Desempleo o empleo inadecuado,work_social_security,Trabajo y seguridad social,0.25,0.0833333333333333,labor_force_or_working_age_population,household_from_person_conditions,person,ipm_i05_desempleo_empleo_inadecuado_flag,pending_implementation,Official IPM indicator in work and social security dimension. Labor categories must align with consolidated ENEMDU labor status,No calculation is implemented. Future work should reuse validated labor flags where appropriate.
6,ipm_i06_no_contribucion_pensiones,No contribucion al sistema de pensiones,work_social_security,Trabajo y seguridad social,0.25,0.0833333333333333,employed_or_contribution_eligible_population,household_from_person_conditions,person,ipm_i06_no_contribucion_pensiones_flag,pending_implementation,Official IPM indicator in work and social security dimension. Pension contribution source must be confirmed,No calculation is implemented. Contribution eligibility and non-applicability rules require review.
7,ipm_i07_pobreza_extrema_ingresos,Pobreza extrema por ingresos,health_water_food,Salud agua y alimentacion,0.25,0.125,persons_in_households_with_valid_income,household_repeated_person,person,ipm_i07_pobreza_extrema_ingresos_flag,pending_implementation,Official IPM indicator in health water and food dimension. Requires auditable extreme income poverty flag,No calculation is implemented. Future work must use explicit poverty lines and existing income poverty contracts.
8,ipm_i08_sin_agua_red_publica,Sin servicio de agua por red publica,health_water_food,Salud agua y alimentacion,0.25,0.125,households,household,person,ipm_i08_sin_agua_red_publica_flag,pending_implementation,Official IPM indicator in health water and food dimension. Water network rule must be verified for IPM,No calculation is implemented. Do not reuse NBI water rules without methodological verification.
9,ipm_i09_hacinamiento,Hacinamiento,habitat_housing_environment,Habitat vivienda y ambiente sano,0.25,0.0625,households,household,person,ipm_i09_hacinamiento_flag,pending_implementation,Official IPM indicator in habitat housing and healthy environment dimension. Overcrowding rule must be verified for IPM,No calculation is implemented. Bedroom and household-size inputs must be audited.
10,ipm_i10_deficit_habitacional,Deficit habitacional,habitat_housing_environment,Habitat vivienda y ambiente sano,0.25,0.0625,households,household,person,ipm_i10_deficit_habitacional_flag,pending_implementation,Official IPM indicator in habitat housing and healthy environment dimension. Housing deficit rule must be confirmed,No calculation is implemented. Housing material and deficit categories require official coding review.
11,ipm_i11_sin_saneamiento_excretas,Sin saneamiento de excretas,habitat_housing_environment,Habitat vivienda y ambiente sano,0.25,0.0625,households,household,person,ipm_i11_sin_saneamiento_excretas_flag,pending_implementation,Official IPM indicator in habitat housing and healthy environment dimension. Excreta sanitation rule must be verified for IPM,No calculation is implemented. Do not reuse NBI sanitation rules without methodological verification.
12,ipm_i12_sin_recoleccion_basura,Sin servicio de recoleccion de basura,habitat_housing_environment,Habitat vivienda y ambiente sano,0.25,0.0625,households,household,person,ipm_i12_sin_recoleccion_basura_flag,pending_implementation,Official IPM indicator in habitat housing and healthy environment dimension. Garbage collection rule must be confirmed,No calculation is implemented. Household source variable and service categories require review.
