indicator_id,indicator_label,indicator_group,unit,analysis_level,estimator_type,universe,weight,required_vars,derived_vars,numerator_var,denominator_var,value_var,condact_codes,secemp_codes,output_scale,domain_scope_policy,design_domain_policy,representativity_required,scale_adjustment_required,implementation_status,source_status,method_note
labor_pet_total,Población en edad de trabajar,labor_total,personas,person,total,personas_15_mas,fexp,condact|p03|upm|estrato|fexp,labor_pet,,,labor_pet,1|2|3|4|5|6|7|8|9,,count,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_pea_total,Población económicamente activa,labor_total,personas,person,total,personas_15_mas,fexp,condact|p03|upm|estrato|fexp,labor_pea,,,labor_pea,1|2|3|4|5|6|7|8,,count,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_pei_total,Población económicamente inactiva,labor_total,personas,person,total,personas_15_mas,fexp,condact|p03|upm|estrato|fexp,labor_pei,,,labor_pei,9,,count,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_empleo_total,Población con empleo,labor_total,personas,person,total,personas_15_mas,fexp,condact|p03|upm|estrato|fexp,labor_empleo,,,labor_empleo,1|2|3|4|5|6,,count,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_empleo_adecuado_total,Población con empleo adecuado/pleno,labor_total,personas,person,total,pea,fexp,condact|p03|upm|estrato|fexp,labor_empleo_adecuado,,,labor_empleo_adecuado,1,,count,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_subempleo_total,Población en subempleo,labor_total,personas,person,total,pea,fexp,condact|p03|upm|estrato|fexp,labor_subempleo,,,labor_subempleo,2|3,,count,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_subempleo_tiempo_total,Población en subempleo por insuficiencia de tiempo,labor_total,personas,person,total,pea,fexp,condact|p03|upm|estrato|fexp,labor_subempleo_tiempo,,,labor_subempleo_tiempo,2,,count,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_subempleo_ingresos_total,Población en subempleo por insuficiencia de ingresos,labor_total,personas,person,total,pea,fexp,condact|p03|upm|estrato|fexp,labor_subempleo_ingresos,,,labor_subempleo_ingresos,3,,count,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_otro_empleo_no_pleno_total,Población en otro empleo no pleno,labor_total,personas,person,total,pea,fexp,condact|p03|upm|estrato|fexp,labor_otro_empleo_no_pleno,,,labor_otro_empleo_no_pleno,4,,count,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_empleo_no_remunerado_total,Población con empleo no remunerado,labor_total,personas,person,total,pea,fexp,condact|p03|upm|estrato|fexp,labor_empleo_no_remunerado,,,labor_empleo_no_remunerado,5,,count,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_empleo_no_clasificado_total,Población con empleo no clasificado,labor_total,personas,person,total,pea,fexp,condact|p03|upm|estrato|fexp,labor_empleo_no_clasificado,,,labor_empleo_no_clasificado,6,,count,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_desempleo_total,Población con desempleo,labor_total,personas,person,total,pea,fexp,condact|p03|upm|estrato|fexp,labor_desempleo,,,labor_desempleo,7|8,,count,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_desempleo_abierto_total,Población con desempleo abierto,labor_total,personas,person,total,pea,fexp,condact|p03|upm|estrato|fexp,labor_desempleo_abierto,,,labor_desempleo_abierto,7,,count,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_desempleo_oculto_total,Población con desempleo oculto,labor_total,personas,person,total,pea,fexp,condact|p03|upm|estrato|fexp,labor_desempleo_oculto,,,labor_desempleo_oculto,8,,count,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_sector_formal_total,Población con empleo en el sector formal,labor_sector_total,personas,person,total,poblacion_con_empleo,fexp,condact|p03|secemp|upm|estrato|fexp,labor_sector_formal,,,labor_sector_formal,1|2|3|4|5|6,1,count,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_sector_informal_total,Población con empleo en el sector informal,labor_sector_total,personas,person,total,poblacion_con_empleo,fexp,condact|p03|secemp|upm|estrato|fexp,labor_sector_informal,,,labor_sector_informal,1|2|3|4|5|6,2,count,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_sector_domestico_total,Población con empleo doméstico,labor_sector_total,personas,person,total,poblacion_con_empleo,fexp,condact|p03|secemp|upm|estrato|fexp,labor_sector_domestico,,,labor_sector_domestico,1|2|3|4|5|6,3,count,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_sector_no_clasificado_total,Población con empleo no clasificado por sector,labor_sector_total,personas,person,total,poblacion_con_empleo,fexp,condact|p03|secemp|upm|estrato|fexp,labor_sector_no_clasificado,,,labor_sector_no_clasificado,1|2|3|4|5|6,4,count,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
