variable,variable_group,code,code_type,meaning,action,applies_to,source_status,source_note,preserve_raw,create_flag,notes
p63,income_labor_main,999,sentinel_nonresponse,No informa,set_na,income_derivation,official,Sintaxis oficial de pobreza extrema por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p63,income_labor_main,9999,sentinel_nonresponse,No informa,set_na,income_derivation,official,Metodología oficial de pobreza por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p63,income_labor_main,99999,sentinel_nonresponse,No informa,set_na,income_derivation,official,Sintaxis oficial de pobreza extrema por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p63,income_labor_main,999999,special_missing,No informa,set_na,income_derivation,official,Sintaxis oficial de pobreza extrema por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p64b,income_labor_main,999,sentinel_nonresponse,No informa,set_na,income_derivation,official,Sintaxis oficial de pobreza extrema por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p64b,income_labor_main,9999,sentinel_nonresponse,No informa,set_na,income_derivation,official,Metodología oficial de pobreza por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p64b,income_labor_main,99999,sentinel_nonresponse,No informa,set_na,income_derivation,official,Sintaxis oficial de pobreza extrema por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p64b,income_labor_main,999999,special_missing,No informa,set_na,income_derivation,official,Sintaxis oficial de pobreza extrema por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p65,income_labor_main,999,sentinel_nonresponse,No informa,set_na,income_derivation,official,Sintaxis oficial de pobreza extrema por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p65,income_labor_main,9999,sentinel_nonresponse,No informa,set_na,income_derivation,official,Metodología oficial de pobreza por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p65,income_labor_main,99999,sentinel_nonresponse,No informa,set_na,income_derivation,official,Sintaxis oficial de pobreza extrema por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p65,income_labor_main,999999,special_missing,No informa,set_na,income_derivation,official,Sintaxis oficial de pobreza extrema por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p66,income_labor_main,999,sentinel_nonresponse,No informa,set_na,income_derivation,official,Sintaxis oficial de pobreza extrema por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p66,income_labor_main,9999,sentinel_nonresponse,No informa,set_na,income_derivation,official,Metodología oficial de pobreza por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p66,income_labor_main,99999,sentinel_nonresponse,No informa,set_na,income_derivation,official,Sintaxis oficial de pobreza extrema por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p66,income_labor_main,999999,special_missing,No informa,set_na,income_derivation,official,Sintaxis oficial de pobreza extrema por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p67,income_labor_main,999,sentinel_nonresponse,No informa,set_na,income_derivation,official,Sintaxis oficial de pobreza extrema por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p67,income_labor_main,9999,sentinel_nonresponse,No informa,set_na,income_derivation,official,Metodología oficial de pobreza por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p67,income_labor_main,99999,sentinel_nonresponse,No informa,set_na,income_derivation,official,Sintaxis oficial de pobreza extrema por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p67,income_labor_main,999999,special_missing,No informa,set_na,income_derivation,official,Sintaxis oficial de pobreza extrema por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p68b,income_labor_main,999,sentinel_nonresponse,No informa,set_na,income_derivation,official,Sintaxis oficial de pobreza extrema por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p68b,income_labor_main,9999,sentinel_nonresponse,No informa,set_na,income_derivation,official,Metodología oficial de pobreza por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p68b,income_labor_main,99999,sentinel_nonresponse,No informa,set_na,income_derivation,official,Sintaxis oficial de pobreza extrema por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p68b,income_labor_main,999999,special_missing,No informa,set_na,income_derivation,official,Sintaxis oficial de pobreza extrema por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
p69,income_labor_secondary,999,sentinel_nonresponse,No informa,set_na,income_derivation,official,Sintaxis oficial de pobreza extrema por ingresos,TRUE,TRUE,Aplicar solo para construcción analítica de ingresos.
