survey_type,period,dictionary_frequency,dictionary_file_scope,dictionary_file,official_variable,official_description,package_expected_variable,expected_catalog_match,role,required_core,domain_level,source_status,notes
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,area,Area,area,exact,domain_variable,TRUE,urbano_rural,official_dictionary,Variable oficial observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,ciudad,Ciudad,ciudad,exact,domain_variable,TRUE,ciudad_5,official_dictionary,Variable oficial observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,conglomerado,Conglomerado,conglomerado,exact,identifier_component,FALSE,,official_dictionary,Variable oficial observada pero no definida como canónica del paquete.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,panelm,Panelm,panelm,exact,identifier_component,FALSE,,official_dictionary,Variable oficial observada pero no definida como canónica del paquete.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,vivienda,Vivienda,vivienda,exact,identifier_component,FALSE,,official_dictionary,Variable oficial observada pero no definida como canónica del paquete.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,hogar,Hogar,hogar,exact,identifier_component,FALSE,,official_dictionary,Variable oficial observada pero no definida como canónica del paquete.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,id_hogar,Identificador de hogar,idhogar,alias,household_identifier,TRUE,,official_dictionary,El paquete usa idhogar como canónica y id_hogar como alias.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,upm,Unidad Primaria de Muestreo,upm,exact,design_variable,TRUE,,official_dictionary,Variable oficial observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,estrato,Estratos,estrato,exact,design_variable,TRUE,,official_dictionary,Variable oficial observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,fexp,Factor de expansión,fexp,exact,weight_variable,TRUE,,official_dictionary,Variable oficial observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,p02,Sexo,p02,exact,classification_variable,TRUE,subpoblacion_sociodemografica,official_dictionary,Variable oficial observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,p63,Ingresos - Patronos Cuenta Propia,p63,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,p64b,Monto de retiro de bienes del negocio,p64b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,p65,Monto gastado en funcionamiento negocio,p65,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,p66,Ingreso de asalariados y/o empleados domésticos,p66,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,p67,Descuentos de asalariados,p67,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,p68b,Ingreso en especies de asalariados,p68b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,p69,Ingreso ocup. secundaria - asalariados e independientes,p69,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,p70b,Pago en especies - trabajo secundario,p70b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,p71a,Recibió ingresos derivados del capital,p71a,exact,income_condition,TRUE,,official_dictionary,Variable oficial de condición de ingreso observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,p71b,Ingreso recibido por transacciones de capital,p71b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,p72a,Recibe jubilación o pensiones,p72a,exact,income_condition,TRUE,,official_dictionary,Variable oficial de condición de ingreso observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,p72b,Ingreso por jubilación o pensiones,p72b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,p73a,Recibió regalos o donaciones,p73a,exact,income_condition,TRUE,,official_dictionary,Variable oficial de condición de ingreso observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,p73b,Ingreso por regalos o donaciones - Monto,p73b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,p74a,Recibió dinero del exterior,p74a,exact,income_condition,TRUE,,official_dictionary,Variable oficial de condición de ingreso observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,p74b,Ingreso del exterior - Monto,p74b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,p75,Recibió el BONO DE DESARROLLO HUMANO,p75,exact,income_condition,TRUE,,official_dictionary,Variable oficial de condición de transferencia observada en diccionario mensual 2026-03.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,p76,Monto que recibió por el BONO DE DESARROLLO HUMANO,p76,exact,income_component,TRUE,,official_dictionary,Variable oficial de transferencia observada en diccionario mensual 2026-03.
